epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1633955132055,2021-10-11T15.25.32.055,0.000,-0.037,0.080,-0.990
1633955132095,2021-10-11T15.25.32.095,0.040,-0.038,0.131,-1.017
1633955132135,2021-10-11T15.25.32.135,0.080,-0.029,0.156,-1.020
1633955132175,2021-10-11T15.25.32.175,0.120,-0.007,0.128,-0.994
1633955132215,2021-10-11T15.25.32.215,0.160,-0.010,0.032,-0.997
1633955132255,2021-10-11T15.25.32.255,0.200,0.024,-0.059,-0.971
1633955132295,2021-10-11T15.25.32.295,0.240,-0.070,0.180,-0.957
1633955132335,2021-10-11T15.25.32.335,0.280,-0.034,0.168,-0.895
1633955132375,2021-10-11T15.25.32.375,0.320,-0.007,0.076,-0.919
1633955132415,2021-10-11T15.25.32.415,0.360,-0.013,0.109,-0.919
1633955132455,2021-10-11T15.25.32.455,0.400,0.037,0.052,-0.873
1633955132495,2021-10-11T15.25.32.495,0.440,0.067,-0.031,-0.926
1633955132535,2021-10-11T15.25.32.535,0.480,0.029,0.019,-1.026
1633955132575,2021-10-11T15.25.32.575,0.520,-0.025,0.080,-1.042
1633955132615,2021-10-11T15.25.32.615,0.560,-0.038,0.223,-0.895
1633955132655,2021-10-11T15.25.32.655,0.600,0.007,0.239,-0.868
1633955132695,2021-10-11T15.25.32.695,0.640,0.060,0.042,-0.970
1633955132735,2021-10-11T15.25.32.735,0.680,0.030,-0.008,-1.022
1633955132775,2021-10-11T15.25.32.775,0.720,-0.011,0.132,-0.964
1633955132815,2021-10-11T15.25.32.815,0.760,0.008,0.170,-0.930
1633955132855,2021-10-11T15.25.32.855,0.800,0.007,0.106,-0.984
1633955132895,2021-10-11T15.25.32.895,0.840,0.041,0.068,-0.931
1633955132935,2021-10-11T15.25.32.935,0.880,0.026,0.087,-0.955
1633955132975,2021-10-11T15.25.32.975,0.920,0.006,0.097,-1.011
1633955133015,2021-10-11T15.25.33.015,0.960,0.025,0.083,-0.987
1633955133055,2021-10-11T15.25.33.055,1.000,0.026,0.107,-0.966
1633955133095,2021-10-11T15.25.33.095,1.040,0.021,0.115,-0.951
1633955133135,2021-10-11T15.25.33.135,1.080,0.031,0.098,-0.941
1633955133175,2021-10-11T15.25.33.175,1.120,0.018,0.114,-0.939
1633955133215,2021-10-11T15.25.33.215,1.160,0.012,0.091,-0.952
1633955133255,2021-10-11T15.25.33.255,1.200,0.021,0.048,-0.953
1633955133295,2021-10-11T15.25.33.295,1.240,0.019,0.060,-0.957
1633955133335,2021-10-11T15.25.33.335,1.280,0.017,0.103,-0.943
