epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1633953867435,2021-10-11T15.04.27.435,0.000,-0.080,0.142,-0.951
1633953867475,2021-10-11T15.04.27.475,0.040,-0.079,0.142,-0.956
1633953867515,2021-10-11T15.04.27.515,0.080,-0.074,0.141,-0.953
1633953867555,2021-10-11T15.04.27.555,0.120,-0.076,0.142,-0.961
1633953867595,2021-10-11T15.04.27.595,0.160,-0.074,0.135,-0.957
1633953867635,2021-10-11T15.04.27.635,0.200,-0.074,0.133,-0.951
1633953867675,2021-10-11T15.04.27.675,0.240,-0.079,0.145,-0.963
1633953867715,2021-10-11T15.04.27.715,0.280,-0.079,0.139,-0.966
1633953867755,2021-10-11T15.04.27.755,0.320,-0.073,0.132,-0.952
1633953867795,2021-10-11T15.04.27.795,0.360,-0.076,0.140,-0.957
1633953867835,2021-10-11T15.04.27.835,0.400,-0.079,0.140,-0.958
1633953867875,2021-10-11T15.04.27.875,0.440,-0.080,0.137,-0.958
1633953867915,2021-10-11T15.04.27.915,0.480,-0.080,0.137,-0.959
1633953867955,2021-10-11T15.04.27.955,0.520,-0.081,0.142,-0.953
1633953867995,2021-10-11T15.04.27.995,0.560,-0.077,0.144,-0.955
1633953868035,2021-10-11T15.04.28.035,0.600,-0.074,0.140,-0.961
1633953868075,2021-10-11T15.04.28.075,0.640,-0.075,0.141,-0.959
1633953868115,2021-10-11T15.04.28.115,0.680,-0.070,0.146,-0.951
1633953868155,2021-10-11T15.04.28.155,0.720,-0.070,0.147,-0.953
1633953868195,2021-10-11T15.04.28.195,0.760,-0.075,0.149,-0.964
1633953868235,2021-10-11T15.04.28.235,0.800,-0.073,0.147,-0.955
1633953868275,2021-10-11T15.04.28.275,0.840,-0.075,0.151,-0.951
1633953868315,2021-10-11T15.04.28.315,0.880,-0.075,0.151,-0.955
1633953868355,2021-10-11T15.04.28.355,0.920,-0.078,0.152,-0.955
1633953868395,2021-10-11T15.04.28.395,0.960,-0.073,0.151,-0.952
1633953868435,2021-10-11T15.04.28.435,1.000,-0.073,0.151,-0.956
1633953868475,2021-10-11T15.04.28.475,1.040,-0.073,0.151,-0.958
1633953868515,2021-10-11T15.04.28.515,1.080,-0.073,0.153,-0.956
1633953868555,2021-10-11T15.04.28.555,1.120,-0.070,0.151,-0.954
1633953868595,2021-10-11T15.04.28.595,1.160,-0.070,0.151,-0.954
1633953868635,2021-10-11T15.04.28.635,1.200,-0.071,0.153,-0.957
1633953868675,2021-10-11T15.04.28.675,1.240,-0.070,0.154,-0.953
1633953868715,2021-10-11T15.04.28.715,1.280,-0.071,0.151,-0.954
1633953868755,2021-10-11T15.04.28.755,1.320,-0.073,0.153,-0.957
1633953868795,2021-10-11T15.04.28.795,1.360,-0.068,0.148,-0.952
1633953868835,2021-10-11T15.04.28.835,1.400,-0.070,0.150,-0.956
1633953868875,2021-10-11T15.04.28.875,1.440,-0.075,0.146,-0.954
1633953868915,2021-10-11T15.04.28.915,1.480,-0.072,0.151,-0.955
1633953868955,2021-10-11T15.04.28.955,1.520,-0.065,0.148,-0.961
1633953868995,2021-10-11T15.04.28.995,1.560,-0.066,0.147,-0.959
1633953869035,2021-10-11T15.04.29.035,1.600,-0.070,0.157,-0.953
1633953869075,2021-10-11T15.04.29.075,1.640,-0.069,0.155,-0.952
1633953869115,2021-10-11T15.04.29.115,1.680,-0.071,0.161,-0.955
1633953869155,2021-10-11T15.04.29.155,1.720,-0.072,0.156,-0.953
1633953869195,2021-10-11T15.04.29.195,1.760,-0.073,0.150,-0.953
