epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636446901435,2021-11-09T10.35.01.435,0.000,-0.152,0.122,0.488
1636446901475,2021-11-09T10.35.01.475,0.040,0.030,0.305,0.427
1636446901515,2021-11-09T10.35.01.515,0.080,-0.061,-0.061,0.488
1636446901555,2021-11-09T10.35.01.555,0.120,-0.152,-0.030,0.457
1636446901595,2021-11-09T10.35.01.595,0.160,0.122,0.000,0.427
1636446901635,2021-11-09T10.35.01.635,0.200,-0.030,-0.061,0.457
1636446901675,2021-11-09T10.35.01.675,0.240,-0.274,-0.122,0.396
1636446901715,2021-11-09T10.35.01.715,0.280,0.091,-0.122,0.396
1636446901755,2021-11-09T10.35.01.755,0.320,0.030,-0.030,0.549
1636446901795,2021-11-09T10.35.01.795,0.360,-0.366,-0.030,0.488
1636446901835,2021-11-09T10.35.01.835,0.400,0.030,-0.030,0.457
1636446901875,2021-11-09T10.35.01.875,0.440,0.000,-0.061,0.457
1636446901915,2021-11-09T10.35.01.915,0.480,0.000,-0.030,0.427
1636446901955,2021-11-09T10.35.01.955,0.520,0.213,0.000,0.427
1636446901995,2021-11-09T10.35.01.995,0.560,0.000,0.000,0.457
1636446902035,2021-11-09T10.35.02.035,0.600,0.061,0.030,0.488
1636446902075,2021-11-09T10.35.02.075,0.640,0.000,0.061,0.488
1636446902115,2021-11-09T10.35.02.115,0.680,0.091,0.030,0.549
1636446902155,2021-11-09T10.35.02.155,0.720,-0.061,-0.030,0.457
1636446902195,2021-11-09T10.35.02.195,0.760,-0.030,0.000,0.488
1636446902235,2021-11-09T10.35.02.235,0.800,-0.122,0.000,0.488
1636446902275,2021-11-09T10.35.02.275,0.840,-0.122,0.000,0.396
1636446902315,2021-11-09T10.35.02.315,0.880,0.213,-0.091,0.305
1636446902355,2021-11-09T10.35.02.355,0.920,0.030,-0.091,0.427
1636446902395,2021-11-09T10.35.02.395,0.960,-0.396,0.000,0.610
1636446902435,2021-11-09T10.35.02.435,1.000,-0.945,-0.061,0.518
1636446902475,2021-11-09T10.35.02.475,1.040,-1.067,-0.213,0.427
1636446902515,2021-11-09T10.35.02.515,1.080,-0.610,-0.274,0.244
1636446902555,2021-11-09T10.35.02.555,1.120,0.823,-0.152,0.183
1636446902595,2021-11-09T10.35.02.595,1.160,0.457,-0.244,0.152
1636446902635,2021-11-09T10.35.02.635,1.200,-0.030,0.457,1.037
1636446902675,2021-11-09T10.35.02.675,1.240,0.061,-0.183,1.341
1636446902715,2021-11-09T10.35.02.715,1.280,0.274,-0.183,1.159
1636446902755,2021-11-09T10.35.02.755,1.320,0.854,0.091,1.250
1636446902795,2021-11-09T10.35.02.795,1.360,0.518,-0.183,0.732
1636446902835,2021-11-09T10.35.02.835,1.400,1.463,-0.396,0.091
1636446902875,2021-11-09T10.35.02.875,1.440,0.823,-0.335,-0.610
1636446902915,2021-11-09T10.35.02.915,1.480,0.823,-0.061,-0.640
1636446902955,2021-11-09T10.35.02.955,1.520,0.701,0.122,-0.488
1636446902995,2021-11-09T10.35.02.995,1.560,1.250,0.152,-1.006
1636446903035,2021-11-09T10.35.03.035,1.600,3.140,1.463,-0.610
1636446903075,2021-11-09T10.35.03.075,1.640,3.659,2.348,0.274
1636446903115,2021-11-09T10.35.03.115,1.680,1.463,0.945,0.335
1636446903155,2021-11-09T10.35.03.155,1.720,-0.427,-0.274,0.061
1636446903195,2021-11-09T10.35.03.195,1.760,-1.006,-0.091,0.183
1636446903235,2021-11-09T10.35.03.235,1.800,-0.244,0.122,0.854
1636446903275,2021-11-09T10.35.03.275,1.840,-1.189,-0.549,1.372
1636446903315,2021-11-09T10.35.03.315,1.880,-1.768,-1.250,1.128
1636446903355,2021-11-09T10.35.03.355,1.920,1.463,-0.671,0.854
1636446903395,2021-11-09T10.35.03.395,1.960,4.116,0.396,0.976
1636446903435,2021-11-09T10.35.03.435,2.000,1.128,0.091,0.549
1636446903475,2021-11-09T10.35.03.475,2.040,-0.579,-0.579,0.366
1636446903515,2021-11-09T10.35.03.515,2.080,0.152,-0.305,0.640
1636446903555,2021-11-09T10.35.03.555,2.120,-0.518,-0.091,0.701
1636446903595,2021-11-09T10.35.03.595,2.160,-0.305,-0.061,0.366
1636446903635,2021-11-09T10.35.03.635,2.200,0.061,0.183,0.213
1636446903675,2021-11-09T10.35.03.675,2.240,0.396,0.183,0.183
1636446903715,2021-11-09T10.35.03.715,2.280,0.762,-0.183,0.061
1636446903755,2021-11-09T10.35.03.755,2.320,0.579,-0.335,-0.030
1636446903795,2021-11-09T10.35.03.795,2.360,0.579,-0.183,0.091
1636446903835,2021-11-09T10.35.03.835,2.400,0.244,0.000,0.274
1636446903875,2021-11-09T10.35.03.875,2.440,-0.945,0.061,-0.061
1636446903915,2021-11-09T10.35.03.915,2.480,0.122,1.006,0.396
1636446903955,2021-11-09T10.35.03.955,2.520,0.274,1.372,1.189
1636446903995,2021-11-09T10.35.03.995,2.560,0.366,0.823,1.707
1636446904035,2021-11-09T10.35.04.035,2.600,0.854,0.396,2.256
1636446904075,2021-11-09T10.35.04.075,2.640,-0.579,0.335,2.043
1636446904115,2021-11-09T10.35.04.115,2.680,-0.671,-0.061,1.372
1636446904155,2021-11-09T10.35.04.155,2.720,0.457,-0.854,0.640
1636446904195,2021-11-09T10.35.04.195,2.760,-0.122,-1.128,0.854
1636446904235,2021-11-09T10.35.04.235,2.800,-1.037,-0.701,1.037
1636446904275,2021-11-09T10.35.04.275,2.840,0.732,0.122,1.220
1636446904315,2021-11-09T10.35.04.315,2.880,0.762,0.274,0.823
1636446904355,2021-11-09T10.35.04.355,2.920,0.030,0.030,0.366
1636446904395,2021-11-09T10.35.04.395,2.960,0.244,0.122,0.335
1636446904435,2021-11-09T10.35.04.435,3.000,0.152,0.091,0.183
1636446904475,2021-11-09T10.35.04.475,3.040,0.335,0.244,0.030
1636446904515,2021-11-09T10.35.04.515,3.080,0.213,0.213,-0.335
1636446904555,2021-11-09T10.35.04.555,3.120,0.701,0.640,0.183
1636446904595,2021-11-09T10.35.04.595,3.160,-0.701,0.274,0.061
1636446904635,2021-11-09T10.35.04.635,3.200,-0.213,0.274,-0.244
1636446904675,2021-11-09T10.35.04.675,3.240,-0.091,0.152,-0.335
1636446904715,2021-11-09T10.35.04.715,3.280,-1.494,-0.061,-0.183
1636446904755,2021-11-09T10.35.04.755,3.320,-1.707,0.305,0.549
1636446904795,2021-11-09T10.35.04.795,3.360,-2.744,0.671,0.854
1636446904835,2021-11-09T10.35.04.835,3.400,-1.159,0.000,0.945
1636446904875,2021-11-09T10.35.04.875,3.440,-1.463,-0.823,0.854
1636446904915,2021-11-09T10.35.04.915,3.480,-2.591,-0.579,1.098
1636446904955,2021-11-09T10.35.04.955,3.520,-3.232,-0.945,0.762
1636446904995,2021-11-09T10.35.04.995,3.560,-2.317,-1.128,0.244
