epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636446901525,2021-11-09T10.35.01.525,0.000,0.194,-0.043,-0.942
1636446901565,2021-11-09T10.35.01.565,0.040,0.197,-0.042,-0.948
1636446901605,2021-11-09T10.35.01.605,0.080,0.196,-0.044,-0.946
1636446901645,2021-11-09T10.35.01.645,0.120,0.195,-0.045,-0.947
1636446901685,2021-11-09T10.35.01.685,0.160,0.196,-0.043,-0.947
1636446901725,2021-11-09T10.35.01.725,0.200,0.195,-0.042,-0.946
1636446901765,2021-11-09T10.35.01.765,0.240,0.195,-0.045,-0.946
1636446901805,2021-11-09T10.35.01.805,0.280,0.196,-0.041,-0.946
1636446901845,2021-11-09T10.35.01.845,0.320,0.195,-0.043,-0.948
1636446901885,2021-11-09T10.35.01.885,0.360,0.195,-0.043,-0.947
1636446901925,2021-11-09T10.35.01.925,0.400,0.195,-0.043,-0.947
1636446901965,2021-11-09T10.35.01.965,0.440,0.196,-0.044,-0.946
1636446902005,2021-11-09T10.35.02.005,0.480,0.195,-0.042,-0.947
1636446902045,2021-11-09T10.35.02.045,0.520,0.194,-0.044,-0.947
1636446902085,2021-11-09T10.35.02.085,0.560,0.196,-0.043,-0.948
1636446902125,2021-11-09T10.35.02.125,0.600,0.196,-0.044,-0.946
1636446902165,2021-11-09T10.35.02.165,0.640,0.195,-0.044,-0.947
1636446902205,2021-11-09T10.35.02.205,0.680,0.196,-0.044,-0.945
1636446902245,2021-11-09T10.35.02.245,0.720,0.195,-0.043,-0.947
1636446902285,2021-11-09T10.35.02.285,0.760,0.196,-0.041,-0.947
1636446902325,2021-11-09T10.35.02.325,0.800,0.196,-0.043,-0.945
1636446902365,2021-11-09T10.35.02.365,0.840,0.195,-0.045,-0.946
1636446902405,2021-11-09T10.35.02.405,0.880,0.195,-0.046,-0.947
1636446902445,2021-11-09T10.35.02.445,0.920,0.196,-0.044,-0.947
1636446902485,2021-11-09T10.35.02.485,0.960,0.196,-0.041,-0.945
1636446902525,2021-11-09T10.35.02.525,1.000,0.195,-0.036,-0.946
1636446902565,2021-11-09T10.35.02.565,1.040,0.196,-0.045,-0.947
1636446902605,2021-11-09T10.35.02.605,1.080,0.188,-0.045,-0.944
1636446902645,2021-11-09T10.35.02.645,1.120,0.201,-0.042,-0.945
1636446902685,2021-11-09T10.35.02.685,1.160,0.195,-0.044,-0.946
1636446902725,2021-11-09T10.35.02.725,1.200,0.190,-0.041,-0.946
1636446902765,2021-11-09T10.35.02.765,1.240,0.197,-0.046,-0.946
1636446902805,2021-11-09T10.35.02.805,1.280,0.199,-0.042,-0.946
1636446902845,2021-11-09T10.35.02.845,1.320,0.196,-0.048,-0.947
1636446902885,2021-11-09T10.35.02.885,1.360,0.194,-0.045,-0.945
1636446902925,2021-11-09T10.35.02.925,1.400,0.194,-0.047,-0.946
1636446902965,2021-11-09T10.35.02.965,1.440,0.194,-0.046,-0.946
1636446903005,2021-11-09T10.35.03.005,1.480,0.183,-0.042,-0.947
1636446903045,2021-11-09T10.35.03.045,1.520,0.187,-0.047,-0.946
1636446903085,2021-11-09T10.35.03.085,1.560,0.207,-0.059,-0.944
1636446903125,2021-11-09T10.35.03.125,1.600,0.210,-0.058,-0.944
1636446903165,2021-11-09T10.35.03.165,1.640,0.197,-0.056,-0.944
1636446903205,2021-11-09T10.35.03.205,1.680,0.195,-0.049,-0.946
1636446903245,2021-11-09T10.35.03.245,1.720,0.203,-0.056,-0.944
1636446903285,2021-11-09T10.35.03.285,1.760,0.203,-0.055,-0.944
1636446903325,2021-11-09T10.35.03.325,1.800,0.193,-0.042,-0.946
1636446903365,2021-11-09T10.35.03.365,1.840,0.187,-0.041,-0.946
1636446903405,2021-11-09T10.35.03.405,1.880,0.199,-0.063,-0.945
1636446903445,2021-11-09T10.35.03.445,1.920,0.202,-0.062,-0.945
1636446903485,2021-11-09T10.35.03.485,1.960,0.195,-0.052,-0.945
1636446903525,2021-11-09T10.35.03.525,2.000,0.197,-0.056,-0.945
1636446903565,2021-11-09T10.35.03.565,2.040,0.196,-0.054,-0.945
1636446903605,2021-11-09T10.35.03.605,2.080,0.194,-0.054,-0.946
1636446903645,2021-11-09T10.35.03.645,2.120,0.195,-0.055,-0.945
1636446903685,2021-11-09T10.35.03.685,2.160,0.198,-0.054,-0.945
1636446903725,2021-11-09T10.35.03.725,2.200,0.199,-0.055,-0.945
1636446903765,2021-11-09T10.35.03.765,2.240,0.196,-0.056,-0.944
1636446903805,2021-11-09T10.35.03.805,2.280,0.193,-0.057,-0.946
1636446903845,2021-11-09T10.35.03.845,2.320,0.194,-0.064,-0.945
1636446903885,2021-11-09T10.35.03.885,2.360,0.189,-0.053,-0.946
1636446903925,2021-11-09T10.35.03.925,2.400,0.194,-0.054,-0.947
1636446903965,2021-11-09T10.35.03.965,2.440,0.199,-0.055,-0.945
1636446904005,2021-11-09T10.35.04.005,2.480,0.200,-0.055,-0.944
1636446904045,2021-11-09T10.35.04.045,2.520,0.200,-0.064,-0.944
1636446904085,2021-11-09T10.35.04.085,2.560,0.201,-0.059,-0.944
1636446904125,2021-11-09T10.35.04.125,2.600,0.205,-0.053,-0.945
1636446904165,2021-11-09T10.35.04.165,2.640,0.201,-0.057,-0.944
1636446904205,2021-11-09T10.35.04.205,2.680,0.194,-0.062,-0.945
1636446904245,2021-11-09T10.35.04.245,2.720,0.192,-0.052,-0.946
1636446904285,2021-11-09T10.35.04.285,2.760,0.194,-0.059,-0.945
1636446904325,2021-11-09T10.35.04.325,2.800,0.199,-0.059,-0.945
1636446904365,2021-11-09T10.35.04.365,2.840,0.198,-0.055,-0.944
1636446904405,2021-11-09T10.35.04.405,2.880,0.199,-0.059,-0.945
1636446904445,2021-11-09T10.35.04.445,2.920,0.196,-0.059,-0.945
1636446904485,2021-11-09T10.35.04.485,2.960,0.196,-0.059,-0.945
1636446904525,2021-11-09T10.35.04.525,3.000,0.195,-0.057,-0.944
1636446904565,2021-11-09T10.35.04.565,3.040,0.200,-0.062,-0.945
1636446904605,2021-11-09T10.35.04.605,3.080,0.197,-0.057,-0.946
1636446904645,2021-11-09T10.35.04.645,3.120,0.198,-0.055,-0.944
1636446904685,2021-11-09T10.35.04.685,3.160,0.200,-0.065,-0.944
1636446904725,2021-11-09T10.35.04.725,3.200,0.198,-0.057,-0.945
1636446904765,2021-11-09T10.35.04.765,3.240,0.196,-0.060,-0.944
1636446904805,2021-11-09T10.35.04.805,3.280,0.203,-0.048,-0.944
1636446904845,2021-11-09T10.35.04.845,3.320,0.206,-0.052,-0.943
1636446904885,2021-11-09T10.35.04.885,3.360,0.197,-0.056,-0.944
1636446904925,2021-11-09T10.35.04.925,3.400,0.200,-0.052,-0.945
1636446904965,2021-11-09T10.35.04.965,3.440,0.197,-0.047,-0.945
1636446905005,2021-11-09T10.35.05.005,3.480,0.197,-0.041,-0.945
1636446905045,2021-11-09T10.35.05.045,3.520,0.197,-0.048,-0.944
1636446905085,2021-11-09T10.35.05.085,3.560,0.189,-0.047,-0.947
1636446905125,2021-11-09T10.35.05.125,3.600,0.192,-0.048,-0.946
1636446905165,2021-11-09T10.35.05.165,3.640,0.195,-0.044,-0.946
1636446905205,2021-11-09T10.35.05.205,3.680,0.193,-0.041,-0.944
1636446905245,2021-11-09T10.35.05.245,3.720,0.196,-0.047,-0.947
1636446905285,2021-11-09T10.35.05.285,3.760,0.191,-0.045,-0.946
1636446905325,2021-11-09T10.35.05.325,3.800,0.195,-0.041,-0.946
1636446905365,2021-11-09T10.35.05.365,3.840,0.201,-0.046,-0.945
1636446905405,2021-11-09T10.35.05.405,3.880,0.195,-0.046,-0.948
1636446905445,2021-11-09T10.35.05.445,3.920,0.193,-0.051,-0.946
1636446905485,2021-11-09T10.35.05.485,3.960,0.188,-0.062,-0.946
1636446905525,2021-11-09T10.35.05.525,4.000,0.188,-0.050,-0.947
1636446905565,2021-11-09T10.35.05.565,4.040,0.209,-0.038,-0.944
1636446905605,2021-11-09T10.35.05.605,4.080,0.203,-0.057,-0.944
1636446905645,2021-11-09T10.35.05.645,4.120,0.189,-0.043,-0.947
1636446905685,2021-11-09T10.35.05.685,4.160,0.197,-0.053,-0.946
1636446905725,2021-11-09T10.35.05.725,4.200,0.195,-0.055,-0.945
1636446905765,2021-11-09T10.35.05.765,4.240,0.198,-0.045,-0.943
1636446905805,2021-11-09T10.35.05.805,4.280,0.197,-0.055,-0.945
1636446905845,2021-11-09T10.35.05.845,4.320,0.194,-0.052,-0.946
1636446905885,2021-11-09T10.35.05.885,4.360,0.193,-0.050,-0.947
1636446905925,2021-11-09T10.35.05.925,4.400,0.194,-0.053,-0.946
1636446905965,2021-11-09T10.35.05.965,4.440,0.197,-0.055,-0.945
1636446906005,2021-11-09T10.35.06.005,4.480,0.195,-0.049,-0.945
1636446906045,2021-11-09T10.35.06.045,4.520,0.195,-0.049,-0.946
1636446906085,2021-11-09T10.35.06.085,4.560,0.198,-0.052,-0.945
1636446906125,2021-11-09T10.35.06.125,4.600,0.193,-0.052,-0.946
1636446906165,2021-11-09T10.35.06.165,4.640,0.193,-0.051,-0.946
1636446906205,2021-11-09T10.35.06.205,4.680,0.195,-0.050,-0.945
1636446906245,2021-11-09T10.35.06.245,4.720,0.196,-0.053,-0.945
1636446906285,2021-11-09T10.35.06.285,4.760,0.192,-0.051,-0.946
1636446906325,2021-11-09T10.35.06.325,4.800,0.189,-0.050,-0.946
1636446906365,2021-11-09T10.35.06.365,4.840,0.194,-0.048,-0.946
1636446906405,2021-11-09T10.35.06.405,4.880,0.196,-0.054,-0.946
1636446906445,2021-11-09T10.35.06.445,4.920,0.192,-0.052,-0.946
1636446906485,2021-11-09T10.35.06.485,4.960,0.193,-0.049,-0.945
1636446906525,2021-11-09T10.35.06.525,5.000,0.194,-0.051,-0.945
1636446906565,2021-11-09T10.35.06.565,5.040,0.194,-0.054,-0.946
1636446906605,2021-11-09T10.35.06.605,5.080,0.193,-0.049,-0.946
1636446906645,2021-11-09T10.35.06.645,5.120,0.195,-0.050,-0.945
1636446906685,2021-11-09T10.35.06.685,5.160,0.194,-0.053,-0.946
1636446906725,2021-11-09T10.35.06.725,5.200,0.195,-0.055,-0.945
1636446906765,2021-11-09T10.35.06.765,5.240,0.196,-0.055,-0.945
1636446906805,2021-11-09T10.35.06.805,5.280,0.196,-0.054,-0.945
1636446906845,2021-11-09T10.35.06.845,5.320,0.197,-0.059,-0.944
1636446906885,2021-11-09T10.35.06.885,5.360,0.194,-0.058,-0.945
1636446906925,2021-11-09T10.35.06.925,5.400,0.194,-0.054,-0.945
1636446906965,2021-11-09T10.35.06.965,5.440,0.203,-0.057,-0.944
1636446907005,2021-11-09T10.35.07.005,5.480,0.202,-0.061,-0.945
1636446907045,2021-11-09T10.35.07.045,5.520,0.198,-0.053,-0.944
