epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1635244425522,2021-10-26T13.33.45.522,0.000,0.030,-0.122,0.366
1635244425562,2021-10-26T13.33.45.562,0.040,0.244,0.061,0.549
1635244425602,2021-10-26T13.33.45.602,0.080,0.213,0.091,0.396
1635244425642,2021-10-26T13.33.45.642,0.120,-0.061,0.061,0.488
1635244425682,2021-10-26T13.33.45.682,0.160,-0.061,0.030,0.488
1635244425722,2021-10-26T13.33.45.722,0.200,0.061,0.000,0.427
1635244425762,2021-10-26T13.33.45.762,0.240,-0.122,-0.061,0.549
1635244425802,2021-10-26T13.33.45.802,0.280,-0.366,-0.152,0.732
1635244425842,2021-10-26T13.33.45.842,0.320,-0.122,-0.152,0.640
1635244425882,2021-10-26T13.33.45.882,0.360,-0.122,-0.122,0.518
1635244425922,2021-10-26T13.33.45.922,0.400,-0.244,-0.152,0.579
1635244425962,2021-10-26T13.33.45.962,0.440,-0.122,0.000,0.671
1635244426002,2021-10-26T13.33.46.002,0.480,-0.122,0.000,0.457
1635244426042,2021-10-26T13.33.46.042,0.520,0.701,0.061,0.183
1635244426082,2021-10-26T13.33.46.082,0.560,0.457,-0.061,0.183
1635244426122,2021-10-26T13.33.46.122,0.600,0.000,0.000,0.366
1635244426162,2021-10-26T13.33.46.162,0.640,0.061,-0.061,0.244
1635244426202,2021-10-26T13.33.46.202,0.680,0.579,0.030,0.152
1635244426242,2021-10-26T13.33.46.242,0.720,0.732,0.152,0.244
1635244426282,2021-10-26T13.33.46.282,0.760,0.091,-0.030,0.000
1635244426322,2021-10-26T13.33.46.322,0.800,0.518,0.061,0.091
1635244426362,2021-10-26T13.33.46.362,0.840,0.152,-0.030,0.183
1635244426402,2021-10-26T13.33.46.402,0.880,-0.030,0.030,0.335
1635244426442,2021-10-26T13.33.46.442,0.920,-0.061,0.000,0.457
1635244426482,2021-10-26T13.33.46.482,0.960,-0.183,-0.122,0.457
1635244426522,2021-10-26T13.33.46.522,1.000,-0.152,0.091,0.610
1635244426562,2021-10-26T13.33.46.562,1.040,-0.396,0.000,0.640
1635244426602,2021-10-26T13.33.46.602,1.080,-0.213,0.030,0.793
1635244426642,2021-10-26T13.33.46.642,1.120,-0.762,-0.152,0.793
1635244426682,2021-10-26T13.33.46.682,1.160,-0.732,-0.061,0.823
1635244426722,2021-10-26T13.33.46.722,1.200,-0.305,0.061,0.701
1635244426762,2021-10-26T13.33.46.762,1.240,-0.396,-0.122,0.610
1635244426802,2021-10-26T13.33.46.802,1.280,-0.061,-0.061,0.549
1635244426842,2021-10-26T13.33.46.842,1.320,-0.122,-0.122,0.396
1635244426882,2021-10-26T13.33.46.882,1.360,0.213,0.030,0.427
1635244426922,2021-10-26T13.33.46.922,1.400,-0.061,-0.030,0.457
1635244426962,2021-10-26T13.33.46.962,1.440,0.061,-0.030,0.396
1635244427002,2021-10-26T13.33.47.002,1.480,0.640,0.000,0.244
1635244427042,2021-10-26T13.33.47.042,1.520,0.732,-0.030,0.213
1635244427082,2021-10-26T13.33.47.082,1.560,0.427,0.000,0.183
1635244427122,2021-10-26T13.33.47.122,1.600,0.549,0.061,0.122
1635244427162,2021-10-26T13.33.47.162,1.640,0.122,-0.061,0.152
1635244427202,2021-10-26T13.33.47.202,1.680,0.305,0.000,0.183
1635244427242,2021-10-26T13.33.47.242,1.720,0.366,0.030,0.244
1635244427282,2021-10-26T13.33.47.282,1.760,0.152,0.000,0.274
1635244427322,2021-10-26T13.33.47.322,1.800,0.244,-0.061,0.335
1635244427362,2021-10-26T13.33.47.362,1.840,0.091,-0.152,0.335
1635244427402,2021-10-26T13.33.47.402,1.880,0.061,-0.122,0.244
1635244427442,2021-10-26T13.33.47.442,1.920,0.091,-0.030,0.335
1635244427482,2021-10-26T13.33.47.482,1.960,-0.152,0.030,0.518
1635244427522,2021-10-26T13.33.47.522,2.000,-0.274,-0.091,0.549
1635244427562,2021-10-26T13.33.47.562,2.040,-0.061,0.000,0.640
1635244427602,2021-10-26T13.33.47.602,2.080,-0.305,-0.061,0.488
1635244427642,2021-10-26T13.33.47.642,2.120,-0.122,0.030,0.457
1635244427682,2021-10-26T13.33.47.682,2.160,-0.152,0.030,0.579
1635244427722,2021-10-26T13.33.47.722,2.200,-0.061,-0.061,0.610
1635244427762,2021-10-26T13.33.47.762,2.240,-0.030,-0.061,0.579
1635244427802,2021-10-26T13.33.47.802,2.280,-0.427,-0.122,0.549
1635244427842,2021-10-26T13.33.47.842,2.320,-0.030,-0.030,0.518
1635244427882,2021-10-26T13.33.47.882,2.360,-0.457,-0.152,0.518
1635244427922,2021-10-26T13.33.47.922,2.400,-0.396,-0.183,0.488
1635244427962,2021-10-26T13.33.47.962,2.440,-0.091,-0.030,0.488
1635244428002,2021-10-26T13.33.48.002,2.480,-0.030,-0.061,0.427
1635244428042,2021-10-26T13.33.48.042,2.520,0.274,0.061,0.549
1635244428082,2021-10-26T13.33.48.082,2.560,0.061,0.000,0.488
1635244428122,2021-10-26T13.33.48.122,2.600,0.274,0.030,0.488
1635244428162,2021-10-26T13.33.48.162,2.640,-0.091,-0.030,0.457
1635244428202,2021-10-26T13.33.48.202,2.680,0.244,0.030,0.396
1635244428242,2021-10-26T13.33.48.242,2.720,0.152,0.000,0.366
1635244428282,2021-10-26T13.33.48.282,2.760,-0.091,-0.030,0.427
1635244428322,2021-10-26T13.33.48.322,2.800,0.122,0.000,0.396
1635244428362,2021-10-26T13.33.48.362,2.840,0.183,-0.030,0.427
1635244428402,2021-10-26T13.33.48.402,2.880,-0.152,-0.030,0.518
1635244428442,2021-10-26T13.33.48.442,2.920,-0.122,-0.030,0.518
1635244428482,2021-10-26T13.33.48.482,2.960,-0.213,-0.061,0.457
1635244428522,2021-10-26T13.33.48.522,3.000,0.122,-0.030,0.335
1635244428562,2021-10-26T13.33.48.562,3.040,-0.061,-0.030,0.457
1635244428602,2021-10-26T13.33.48.602,3.080,-0.152,0.000,0.518
1635244428642,2021-10-26T13.33.48.642,3.120,0.061,0.000,0.488
1635244428682,2021-10-26T13.33.48.682,3.160,0.030,0.000,0.427
1635244428722,2021-10-26T13.33.48.722,3.200,0.122,0.030,0.427
1635244428762,2021-10-26T13.33.48.762,3.240,0.000,0.000,0.457
1635244428802,2021-10-26T13.33.48.802,3.280,-0.091,-0.030,0.457
1635244428842,2021-10-26T13.33.48.842,3.320,0.122,-0.030,0.427
1635244428882,2021-10-26T13.33.48.882,3.360,-0.213,-0.122,0.488
1635244428922,2021-10-26T13.33.48.922,3.400,-0.213,-0.091,0.549
1635244428962,2021-10-26T13.33.48.962,3.440,-0.183,-0.091,0.457
1635244429002,2021-10-26T13.33.49.002,3.480,0.061,0.000,0.427
1635244429042,2021-10-26T13.33.49.042,3.520,-0.030,-0.030,0.427
1635244429082,2021-10-26T13.33.49.082,3.560,0.061,0.061,0.427
1635244429122,2021-10-26T13.33.49.122,3.600,0.122,-0.030,0.427
1635244429162,2021-10-26T13.33.49.162,3.640,0.030,-0.061,0.457
1635244429202,2021-10-26T13.33.49.202,3.680,-0.122,0.000,0.518
1635244429242,2021-10-26T13.33.49.242,3.720,-0.457,-0.122,0.457
1635244429282,2021-10-26T13.33.49.282,3.760,-0.122,-0.061,0.305
1635244429322,2021-10-26T13.33.49.322,3.800,-0.030,0.091,0.579
1635244429362,2021-10-26T13.33.49.362,3.840,-0.610,0.091,1.098
1635244429402,2021-10-26T13.33.49.402,3.880,-0.457,-0.030,1.006
1635244429442,2021-10-26T13.33.49.442,3.920,-0.122,-0.061,0.701
1635244429482,2021-10-26T13.33.49.482,3.960,-0.030,-0.244,0.305
1635244429522,2021-10-26T13.33.49.522,4.000,-0.274,-0.183,0.366
1635244429562,2021-10-26T13.33.49.562,4.040,-0.396,-0.122,0.457
1635244429602,2021-10-26T13.33.49.602,4.080,-0.366,-0.152,0.488
1635244429642,2021-10-26T13.33.49.642,4.120,-0.244,-0.091,0.396
1635244429682,2021-10-26T13.33.49.682,4.160,0.030,-0.030,0.213
1635244429722,2021-10-26T13.33.49.722,4.200,0.427,0.091,0.305
1635244429762,2021-10-26T13.33.49.762,4.240,-0.122,0.000,0.335
1635244429802,2021-10-26T13.33.49.802,4.280,0.122,-0.061,0.396
1635244429842,2021-10-26T13.33.49.842,4.320,0.122,-0.091,0.427
1635244429882,2021-10-26T13.33.49.882,4.360,0.000,-0.030,0.518
1635244429922,2021-10-26T13.33.49.922,4.400,-0.244,-0.030,0.549
1635244429962,2021-10-26T13.33.49.962,4.440,-0.152,0.000,0.610
1635244430002,2021-10-26T13.33.50.002,4.480,0.152,-0.030,0.488
1635244430042,2021-10-26T13.33.50.042,4.520,0.457,0.061,0.366
1635244430082,2021-10-26T13.33.50.082,4.560,0.244,0.030,0.366
1635244430122,2021-10-26T13.33.50.122,4.600,0.305,0.030,0.366
1635244430162,2021-10-26T13.33.50.162,4.640,0.518,0.000,0.244
1635244430202,2021-10-26T13.33.50.202,4.680,0.244,0.000,0.366
1635244430242,2021-10-26T13.33.50.242,4.720,-0.122,-0.030,0.457
1635244430282,2021-10-26T13.33.50.282,4.760,0.091,0.000,0.427
1635244430322,2021-10-26T13.33.50.322,4.800,0.061,-0.030,0.366
1635244430362,2021-10-26T13.33.50.362,4.840,-0.183,0.000,0.488
1635244430402,2021-10-26T13.33.50.402,4.880,-0.732,-0.183,0.549
1635244430442,2021-10-26T13.33.50.442,4.920,-0.305,-0.122,0.396
1635244430482,2021-10-26T13.33.50.482,4.960,-0.061,-0.091,0.396
1635244430522,2021-10-26T13.33.50.522,5.000,-0.183,-0.152,0.488
1635244430562,2021-10-26T13.33.50.562,5.040,-0.335,0.000,0.579
1635244430602,2021-10-26T13.33.50.602,5.080,-0.213,-0.030,0.457
1635244430642,2021-10-26T13.33.50.642,5.120,0.335,0.000,0.396
1635244430682,2021-10-26T13.33.50.682,5.160,0.152,0.061,0.518
1635244430722,2021-10-26T13.33.50.722,5.200,0.030,0.000,0.457
1635244430762,2021-10-26T13.33.50.762,5.240,0.488,-0.030,0.244
1635244430802,2021-10-26T13.33.50.802,5.280,0.061,-0.122,0.335
1635244430842,2021-10-26T13.33.50.842,5.320,-0.091,-0.122,0.396
1635244430882,2021-10-26T13.33.50.882,5.360,-0.122,-0.030,0.457
1635244430922,2021-10-26T13.33.50.922,5.400,0.061,0.000,0.488
1635244430962,2021-10-26T13.33.50.962,5.440,0.000,-0.030,0.518
1635244431002,2021-10-26T13.33.51.002,5.480,-0.183,-0.061,0.488
1635244431042,2021-10-26T13.33.51.042,5.520,-0.122,-0.030,0.396
1635244431082,2021-10-26T13.33.51.082,5.560,-0.061,-0.061,0.366
1635244431122,2021-10-26T13.33.51.122,5.600,-0.030,-0.061,0.427
1635244431162,2021-10-26T13.33.51.162,5.640,-0.061,-0.061,0.457
1635244431202,2021-10-26T13.33.51.202,5.680,0.152,0.000,0.427
1635244431242,2021-10-26T13.33.51.242,5.720,-0.030,0.000,0.366
1635244431282,2021-10-26T13.33.51.282,5.760,0.030,-0.030,0.488
1635244431322,2021-10-26T13.33.51.322,5.800,-0.030,0.000,0.579
1635244431362,2021-10-26T13.33.51.362,5.840,-0.122,-0.030,0.366
1635244431402,2021-10-26T13.33.51.402,5.880,0.152,0.000,0.335
1635244431442,2021-10-26T13.33.51.442,5.920,0.030,-0.030,0.488
1635244431482,2021-10-26T13.33.51.482,5.960,-0.091,-0.030,0.549
1635244431522,2021-10-26T13.33.51.522,6.000,0.061,0.000,0.427
1635244431562,2021-10-26T13.33.51.562,6.040,0.091,0.000,0.396
1635244431602,2021-10-26T13.33.51.602,6.080,0.091,0.000,0.427
1635244431642,2021-10-26T13.33.51.642,6.120,0.122,0.000,0.457
