epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635675950914,2021-10-31T12.25.50.914,0.000,0.277,0.210,-0.892
1635675950954,2021-10-31T12.25.50.954,0.040,0.275,0.211,-0.900
1635675950994,2021-10-31T12.25.50.994,0.080,0.280,0.209,-0.896
1635675951034,2021-10-31T12.25.51.034,0.120,0.278,0.214,-0.897
1635675951074,2021-10-31T12.25.51.074,0.160,0.276,0.209,-0.898
1635675951114,2021-10-31T12.25.51.114,0.200,0.286,0.208,-0.895
1635675951154,2021-10-31T12.25.51.154,0.240,0.284,0.214,-0.894
1635675951194,2021-10-31T12.25.51.194,0.280,0.282,0.211,-0.896
1635675951234,2021-10-31T12.25.51.234,0.320,0.278,0.210,-0.896
1635675951274,2021-10-31T12.25.51.274,0.360,0.278,0.209,-0.897
1635675951314,2021-10-31T12.25.51.314,0.400,0.279,0.212,-0.896
1635675951354,2021-10-31T12.25.51.354,0.440,0.276,0.213,-0.895
1635675951394,2021-10-31T12.25.51.394,0.480,0.276,0.213,-0.897
1635675951434,2021-10-31T12.25.51.434,0.520,0.280,0.210,-0.896
1635675951474,2021-10-31T12.25.51.474,0.560,0.284,0.210,-0.895
1635675951514,2021-10-31T12.25.51.514,0.600,0.281,0.209,-0.896
1635675951554,2021-10-31T12.25.51.554,0.640,0.284,0.205,-0.896
1635675951594,2021-10-31T12.25.51.594,0.680,0.286,0.211,-0.894
1635675951634,2021-10-31T12.25.51.634,0.720,0.282,0.208,-0.897
1635675951674,2021-10-31T12.25.51.674,0.760,0.268,0.215,-0.901
1635675951714,2021-10-31T12.25.51.714,0.800,0.268,0.210,-0.901
1635675951754,2021-10-31T12.25.51.754,0.840,0.287,0.212,-0.893
1635675951794,2021-10-31T12.25.51.794,0.880,0.280,0.207,-0.896
1635675951834,2021-10-31T12.25.51.834,0.920,0.277,0.206,-0.898
1635675951874,2021-10-31T12.25.51.874,0.960,0.284,0.204,-0.895
1635675951914,2021-10-31T12.25.51.914,1.000,0.281,0.206,-0.896
1635675951954,2021-10-31T12.25.51.954,1.040,0.277,0.206,-0.897
1635675951994,2021-10-31T12.25.51.994,1.080,0.287,0.213,-0.893
1635675952034,2021-10-31T12.25.52.034,1.120,0.283,0.208,-0.895
1635675952074,2021-10-31T12.25.52.074,1.160,0.264,0.211,-0.901
1635675952114,2021-10-31T12.25.52.114,1.200,0.268,0.216,-0.900
1635675952154,2021-10-31T12.25.52.154,1.240,0.279,0.209,-0.899
1635675952194,2021-10-31T12.25.52.194,1.280,0.277,0.205,-0.899
1635675952234,2021-10-31T12.25.52.234,1.320,0.272,0.209,-0.899
1635675952274,2021-10-31T12.25.52.274,1.360,0.278,0.200,-0.899
1635675952314,2021-10-31T12.25.52.314,1.400,0.286,0.203,-0.894
1635675952354,2021-10-31T12.25.52.354,1.440,0.278,0.211,-0.896
1635675952394,2021-10-31T12.25.52.394,1.480,0.275,0.201,-0.899
1635675952434,2021-10-31T12.25.52.434,1.520,0.275,0.211,-0.897
1635675952474,2021-10-31T12.25.52.474,1.560,0.278,0.205,-0.898
1635675952514,2021-10-31T12.25.52.514,1.600,0.280,0.208,-0.897
1635675952554,2021-10-31T12.25.52.554,1.640,0.279,0.208,-0.897
1635675952594,2021-10-31T12.25.52.594,1.680,0.279,0.201,-0.896
1635675952634,2021-10-31T12.25.52.634,1.720,0.276,0.208,-0.898
1635675952674,2021-10-31T12.25.52.674,1.760,0.280,0.207,-0.896
1635675952714,2021-10-31T12.25.52.714,1.800,0.280,0.203,-0.895
1635675952754,2021-10-31T12.25.52.754,1.840,0.278,0.207,-0.897
1635675952794,2021-10-31T12.25.52.794,1.880,0.277,0.203,-0.899
1635675952834,2021-10-31T12.25.52.834,1.920,0.279,0.199,-0.898
1635675952874,2021-10-31T12.25.52.874,1.960,0.278,0.208,-0.897
1635675952914,2021-10-31T12.25.52.914,2.000,0.279,0.205,-0.897
1635675952954,2021-10-31T12.25.52.954,2.040,0.279,0.211,-0.897
1635675952994,2021-10-31T12.25.52.994,2.080,0.281,0.208,-0.895
1635675953034,2021-10-31T12.25.53.034,2.120,0.278,0.203,-0.896
1635675953074,2021-10-31T12.25.53.074,2.160,0.277,0.214,-0.894
1635675953114,2021-10-31T12.25.53.114,2.200,0.281,0.210,-0.896
1635675953154,2021-10-31T12.25.53.154,2.240,0.281,0.215,-0.893
1635675953194,2021-10-31T12.25.53.194,2.280,0.272,0.215,-0.898
1635675953234,2021-10-31T12.25.53.234,2.320,0.272,0.214,-0.896
1635675953274,2021-10-31T12.25.53.274,2.360,0.277,0.213,-0.896
1635675953314,2021-10-31T12.25.53.314,2.400,0.279,0.213,-0.895
1635675953354,2021-10-31T12.25.53.354,2.440,0.279,0.209,-0.896
1635675953394,2021-10-31T12.25.53.394,2.480,0.279,0.212,-0.895
1635675953434,2021-10-31T12.25.53.434,2.520,0.277,0.207,-0.898
1635675953474,2021-10-31T12.25.53.474,2.560,0.278,0.203,-0.897
1635675953514,2021-10-31T12.25.53.514,2.600,0.273,0.213,-0.897
1635675953554,2021-10-31T12.25.53.554,2.640,0.275,0.221,-0.894
1635675953594,2021-10-31T12.25.53.594,2.680,0.284,0.219,-0.894
1635675953634,2021-10-31T12.25.53.634,2.720,0.270,0.214,-0.899
1635675953674,2021-10-31T12.25.53.674,2.760,0.258,0.215,-0.901
1635675953714,2021-10-31T12.25.53.714,2.800,0.272,0.220,-0.896
1635675953754,2021-10-31T12.25.53.754,2.840,0.282,0.212,-0.894
1635675953794,2021-10-31T12.25.53.794,2.880,0.279,0.216,-0.895
1635675953834,2021-10-31T12.25.53.834,2.920,0.269,0.224,-0.895
1635675953874,2021-10-31T12.25.53.874,2.960,0.271,0.201,-0.901
1635675953914,2021-10-31T12.25.53.914,3.000,0.279,0.226,-0.893
1635675953954,2021-10-31T12.25.53.954,3.040,0.265,0.249,-0.892
1635675953994,2021-10-31T12.25.53.994,3.080,0.263,0.236,-0.893
1635675954034,2021-10-31T12.25.54.034,3.120,0.270,0.231,-0.893
1635675954074,2021-10-31T12.25.54.074,3.160,0.269,0.230,-0.894
1635675954114,2021-10-31T12.25.54.114,3.200,0.253,0.229,-0.899
1635675954154,2021-10-31T12.25.54.154,3.240,0.244,0.222,-0.901
1635675954194,2021-10-31T12.25.54.194,3.280,0.261,0.217,-0.900
1635675954234,2021-10-31T12.25.54.234,3.320,0.282,0.230,-0.890
1635675954274,2021-10-31T12.25.54.274,3.360,0.289,0.233,-0.887
1635675954314,2021-10-31T12.25.54.314,3.400,0.267,0.223,-0.897
1635675954354,2021-10-31T12.25.54.354,3.440,0.235,0.223,-0.906
1635675954394,2021-10-31T12.25.54.394,3.480,0.231,0.240,-0.905
1635675954434,2021-10-31T12.25.54.434,3.520,0.272,0.235,-0.893
1635675954474,2021-10-31T12.25.54.474,3.560,0.278,0.226,-0.892
1635675954514,2021-10-31T12.25.54.514,3.600,0.248,0.230,-0.901
1635675954554,2021-10-31T12.25.54.554,3.640,0.251,0.227,-0.900
1635675954594,2021-10-31T12.25.54.594,3.680,0.263,0.231,-0.896
1635675954634,2021-10-31T12.25.54.634,3.720,0.264,0.226,-0.895
1635675954674,2021-10-31T12.25.54.674,3.760,0.264,0.239,-0.894
1635675954714,2021-10-31T12.25.54.714,3.800,0.258,0.233,-0.896
1635675954754,2021-10-31T12.25.54.754,3.840,0.254,0.230,-0.899
1635675954794,2021-10-31T12.25.54.794,3.880,0.257,0.237,-0.898
1635675954834,2021-10-31T12.25.54.834,3.920,0.259,0.242,-0.896
1635675954874,2021-10-31T12.25.54.874,3.960,0.258,0.214,-0.910
1635675954914,2021-10-31T12.25.54.914,4.000,0.260,0.158,-0.938
1635675954954,2021-10-31T12.25.54.954,4.040,0.219,0.078,-1.048
